phase,type,parent,id,player,amount,private,source,percentage,company,share_price,sequence,location,tile,rotation,direction,train,route,per_share,old_train,new_train,result,player1_cash,player1_privates,player1_value,player1_shares,player1_priority_deal,player2_cash,player2_privates,player2_value,player2_shares,player2_priority_deal,player3_cash,player3_privates,player3_value,player3_shares,player3_priority_deal,player4_cash,player4_privates,player4_value,player4_shares,player4_priority_deal,B&M_cash,B&M_privates,B&M_trains,B&M_ipo,B&M_market,B&M_president,B&M_share_price,B&O_cash,B&O_privates,B&O_trains,B&O_ipo,B&O_market,B&O_president,B&O_share_price,C&O_cash,C&O_privates,C&O_trains,C&O_ipo,C&O_market,C&O_president,C&O_share_price,CPR_cash,CPR_privates,CPR_trains,CPR_ipo,CPR_market,CPR_president,CPR_share_price,ERIE_cash,ERIE_privates,ERIE_trains,ERIE_ipo,ERIE_market,ERIE_president,ERIE_share_price,NYC_cash,NYC_privates,NYC_trains,NYC_ipo,NYC_market,NYC_president,NYC_share_price,NYNH_cash,NYNH_privates,NYNH_trains,NYNH_ipo,NYNH_market,NYNH_president,NYNH_share_price,PRR_cash,PRR_privates,PRR_trains,PRR_ipo,PRR_market,PRR_president,PRR_share_price
2,NewPhase,Event,0,,,,,,,,ISR 1,,,,,,,,,,,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0
2,Bid,Action,1,player1,165.0,Camden & Amboy,,,,,ISR 1,,,,,,,,,,,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0
2,Bid,Action,2,player2,75.0,Delaware & Hudson,,,,,ISR 1,,,,,,,,,,,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0
2,Bid,Action,3,player3,115.0,Mohawk & Hudson,,,,,ISR 1,,,,,,,,,,,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0
2,Bid,Action,4,player4,120.0,Mohawk & Hudson,,,,,ISR 1,,,,,,,,,,,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0
2,BuyPrivate,Action,5,player1,20.0,Schuylkill Valley,Auction,,,,ISR 1,,,,,,,,,,,580.0,{'Schuylkill Valley': 20},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0
2,Bid,Action,6,player2,170.0,Camden & Amboy,,,,,ISR 1,,,,,,,,,,,580.0,{'Schuylkill Valley': 20},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0
2,Bid,Action,7,player3,175.0,Camden & Amboy,,,,,ISR 1,,,,,,,,,,,580.0,{'Schuylkill Valley': 20},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0
2,BuyPrivate,Action,8,player4,40.0,Champlain & St.Lawrence,Auction,,,,ISR 1,,,,,,,,,,,580.0,{'Schuylkill Valley': 20},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,560.0,{'Champlain & St.Lawrence': 40},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0
2,BuyPrivate,Action,9,player2,75.0,Delaware & Hudson,Auction,,,,ISR 1,,,,,,,,,,,580.0,{'Schuylkill Valley': 20},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,525.0,{'Delaware & Hudson': 70},595.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,600.0,{},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,560.0,{'Champlain & St.Lawrence': 40},600.0,"{'B&M': 0, 'B&O': 0, 'C&O': 0, 'CPR': 0, 'ERIE': 0, 'NYC': 0, 'NYNH': 0, 'PRR': 0}",False,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0,0.0,{},"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, 'D': 0}",10,0,,0.0
