event,phase,id,action,player,amount,private,who,percentage,company,round,source,train
PhaseChange,2,0,,,,,,,,,,
,,1,Bid,mpcoyne,165,Camden & Amboy,,,,,,
,,2,Bid,riverfiend,75,Delaware & Hudson,,,,,,
,,3,Bid,leesin,115,Mohawk & Hudson,,,,,,
,,4,Bid,mpakfm,120,Mohawk & Hudson,,,,,,
,,5,Buy,mpcoyne,20,Schuylkill Valley,,,,,,
,,6,Bid,riverfiend,170,Camden & Amboy,,,,,,
,,7,Bid,leesin,175,Camden & Amboy,,,,,,
,,8,Buy,mpakfm,40,Champlain & St.Lawrence,,,,,,
,,9,Buy,riverfiend,75,Delaware & Hudson,,,,,,
PrivateAuction,,10,,,,Hudson,,,,,,
,,11,Bid,leesin,125,Mohawk & Hudson,,,,,,
Pass,,12,,,,,mpakfm,,,,,
,,13,Buy,leesin,125,Mohawk & Hudson,,,,,,
PrivateAuction,,14,,,,Amboy,,,,,,
,,15,Bid,mpcoyne,180,Camden & Amboy,,,,,,
Pass,,16,,,,,riverfiend,,,,,
,,17,Bid,leesin,185,Camden & Amboy,,,,,,
,,18,Bid,mpcoyne,190,Camden & Amboy,,,,,,
,,19,Bid,leesin,195,Camden & Amboy,,,,,,
,,20,Bid,mpcoyne,200,Camden & Amboy,,,,,,
,,21,Bid,leesin,205,Camden & Amboy,,,,,,
,,22,Bid,mpcoyne,210,Camden & Amboy,,,,,,
,,23,Bid,leesin,215,Camden & Amboy,,,,,,
,,24,Bid,mpcoyne,220,Camden & Amboy,,,,,,
,,25,Bid,leesin,225,Camden & Amboy,,,,,,
Pass,,26,,,,,mpcoyne,,,,,
,,27,Buy,leesin,225,Camden & Amboy,,,,,,
,,28,Receive,n,,,,10,PRR,,,
,,29,Buy,mpcoyne,220,Baltimore & Ohio,,,,,,
,,30,Par,mpcoyne,90,,,,B&O,,,
,,31,Receive,e,,,,20,B&O,,,
PresidentNomination,,32,,mpcoyne,,,,,B&O,,,
PriorityDeal,,33,,riverfiend,,,,,,,,
StockRound,,34,,,,,,,,1,,
,,35,Par,riverfiend,67,,,,C&O,,,
,,36,Buy,riverfiend,134,,,20,C&O,,IPO,
PresidentNomination,,37,,riverfiend,,,,,C&O,,,
,,38,Buy,leesin,67,,,10,C&O,,IPO,
,,39,Par,mpakfm,90,,,,NYC,,,
,,40,Buy,mpakfm,180,,,20,NYC,,IPO,
PresidentNomination,,41,,mpakfm,,,,,NYC,,,
,,42,Buy,mpcoyne,90,,,10,B&O,,IPO,
,,43,Buy,riverfiend,67,,,10,C&O,,IPO,
,,44,Buy,leesin,67,,,10,C&O,,IPO,
,,45,Buy,mpakfm,90,,,10,NYC,,IPO,
,,46,Buy,mpcoyne,90,,,10,B&O,,IPO,
,,47,Buy,riverfiend,67,,,10,C&O,,IPO,
CompanyFloating,,48,,O,,,,,,,,
,,49,Receive,,670,,,,O,,,
,,50,Buy,leesin,67,,,10,C&O,,IPO,
,,51,Buy,mpakfm,90,,,10,NYC,,IPO,
,,52,Buy,mpcoyne,90,,,10,B&O,,IPO,
,,53,Buy,riverfiend,67,,,10,C&O,,IPO,
Pass,,54,,,,,and,,,,,
,,55,Buy,mpakfm,90,,,10,NYC,,IPO,
,,56,Buy,mpcoyne,90,,,10,B&O,,IPO,
CompanyFloating,,57,,O,,,,,,,,
,,58,Receive,,900,,,,O,,,
Pass,,59,,,,,riverfiend,,,,,
Pass,,60,,,,,and,,,,,
,,61,Buy,mpakfm,90,,,10,NYC,,IPO,
CompanyFloating,,62,,C,,,,,,,,
,,63,Receive,,900,,,,C,,,
Pass,,64,,,,,and,,,,,
Pass,,65,,,,,riverfiend,,,,,
Pass,,66,,,,,and,,,,,
Pass,,67,,,,,and,,,,,
PriorityDeal,,68,,mpcoyne,,,,,,,,
OperatingRound,,69,,,,,,,,1.1,,
,,70,Collect,mpcoyne,5,,,,,,Schuylkill Valley,
,,71,Collect,mpcoyne,30,,,,,,Baltimore & Ohio,
,,72,Collect,riverfiend,15,,,,,,Delaware & Hudson,
,,73,Collect,leesin,20,,,,,,Mohawk & Hudson,
,,74,Collect,leesin,25,,,,,,Camden & Amboy,
,,75,Collect,mpakfm,10,,,,,,Champlain & St.Lawrence,
CompanyOperation,,76,,e,,,,,B&O,,,
,,83,Buy,,80,,,,O,,The Depot,2
Pass,,85,,,,,O,,,,,
CompanyOperation,,87,,m,,,,,NYC,,,
,,94,Buy,,80,,,,C,,The Depot,2
Pass,,95,,,,,NYC,,,,,
CompanyOperation,,97,,d,,,,,C&O,,,
,,104,Buy,,80,,,,O,,The Depot,2
Pass,,105,,,,,O,,,,,
StockRound,,107,,,,,,,,2,,
Pass,,108,,,,,mpcoyne,,,,,
,,109,Buy,riverfiend,90,,,10,B&O,,IPO,
,,111,Buy,leesin,67,,,10,C&O,,IPO,
Pass,,113,,,,,mpakfm,,,,,
Pass,,114,,,,,mpcoyne,,,,,
,,115,Buy,riverfiend,67,,,10,C&O,,IPO,
Pass,,117,,,,,leesin,,,,,
Pass,,118,,,,,mpakfm,,,,,
Pass,,119,,,,,mpcoyne,,,,,
Pass,,120,,,,,riverfiend,,,,,
PriorityDeal,,122,,leesin,,,,,,,,
OperatingRound,,123,,,,,,,,2.1,,
,,124,Collect,leesin,20,,,,,,Mohawk & Hudson,
,,125,Collect,leesin,25,,,,,,Camden & Amboy,
,,126,Collect,mpakfm,10,,,,,,Champlain & St.Lawrence,
,,127,Collect,mpcoyne,5,,,,,,Schuylkill Valley,
,,128,Collect,riverfiend,15,,,,,,Delaware & Hudson,
CompanyOperation,,129,,e,,,,,B&O,,,
Pass,,135,,,,,O,,,,,
CompanyOperation,,137,,m,,,,,NYC,,,
Pass,,143,,,,,NYC,,,,,
CompanyOperation,,145,,d,,,,,C&O,,,
,,151,Buy,,80,,,,O,,The Depot,2
Pass,,152,,,,,O,,,,,
