event,phase,id,action,player,amount,private,who,percentage,company,round,source,direction,old_price,new_price,location,tile,rotation,train,route,per_share,num_shares,old_train,new_train
PhaseChange,2,0,,,,,,,,,,,,,,,,,,,,,
,,1,BidPlaced,leesin,165,Camden & Amboy,,,,,,,,,,,,,,,,,
,,2,BidPlaced,JuicyBerry,115,Mohawk & Hudson,,,,,,,,,,,,,,,,,
,,3,BidPlaced,KingZombie,170,Camden & Amboy,,,,,,,,,,,,,,,,,
,,4,BidPlaced,JibJibMonkey,75,Delaware & Hudson,,,,,,,,,,,,,,,,,
,,5,BidPlaced,leesin,120,Mohawk & Hudson,,,,,,,,,,,,,,,,,
,,6,BidPlaced,JuicyBerry,80,Delaware & Hudson,,,,,,,,,,,,,,,,,
,,7,BidPlaced,KingZombie,45,Champlain & St.Lawrence,,,,,,,,,,,,,,,,,
,,8,BidPlaced,JibJibMonkey,125,Mohawk & Hudson,,,,,,,,,,,,,,,,,
,,9,PrivateBought,leesin,20,Schuylkill Valley,,,,,,,,,,,,,,,,,
,,10,PrivateBought,KingZombie,45,Champlain & St.Lawrence,,,,,,,,,,,,,,,,,
PrivateAuction,,11,,,,Hudson,,,,,,,,,,,,,,,,,
,,12,BidPlaced,JibJibMonkey,85,Delaware & Hudson,,,,,,,,,,,,,,,,,
,,13,BidPlaced,JuicyBerry,90,Delaware & Hudson,,,,,,,,,,,,,,,,,
,,14,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,15,PrivateBought,JuicyBerry,90,Delaware & Hudson,,,,,,,,,,,,,,,,,
PrivateAuction,,16,,,,Hudson,,,,,,,,,,,,,,,,,
,,17,BidPlaced,JuicyBerry,130,Mohawk & Hudson,,,,,,,,,,,,,,,,,
,,18,BidPlaced,leesin,135,Mohawk & Hudson,,,,,,,,,,,,,,,,,
,,19,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,20,BidPlaced,JuicyBerry,155,Mohawk & Hudson,,,,,,,,,,,,,,,,,
,,21,BidPlaced,leesin,160,Mohawk & Hudson,,,,,,,,,,,,,,,,,
,,22,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,23,PrivateBought,leesin,160,Mohawk & Hudson,,,,,,,,,,,,,,,,,
PrivateAuction,,24,,,,Amboy,,,,,,,,,,,,,,,,,
,,25,BidPlaced,leesin,190,Camden & Amboy,,,,,,,,,,,,,,,,,
,,26,BidPlaced,KingZombie,210,Camden & Amboy,,,,,,,,,,,,,,,,,
,,27,BidPlaced,leesin,215,Camden & Amboy,,,,,,,,,,,,,,,,,
,,28,BidPlaced,KingZombie,220,Camden & Amboy,,,,,,,,,,,,,,,,,
,,29,BidPlaced,leesin,225,Camden & Amboy,,,,,,,,,,,,,,,,,
,,30,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,31,PrivateBought,leesin,225,Camden & Amboy,,,,,,,,,,,,,,,,,
,,32,ShareReceived,n,,,,10,PRR,,,,,,,,,,,,,,
,,33,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,34,PrivateBought,KingZombie,220,Baltimore & Ohio,,,,,,,,,,,,,,,,,
,,35,CompanyPared,KingZombie,100,,,,B&O,,,,,,,,,,,,,,
,,36,ShareReceived,e,,,,20,B&O,,,,,,,,,,,,,,
PresidentNomination,,37,,KingZombie,,,,,B&O,,,,,,,,,,,,,,
PriorityDeal,,38,,JibJibMonkey,,,,,,,,,,,,,,,,,,,
StockRound,,39,,,,,,,,1,,,,,,,,,,,,,
,,40,CompanyPared,JibJibMonkey,82,,,,PRR,,,,,,,,,,,,,,
,,41,ShareBought,y,164,,,20,PRR,,IPO,,,,,,,,,,,,
PresidentNomination,,42,,JibJibMonkey,,,,,PRR,,,,,,,,,,,,,,
,,43,Passed,,,,leesin,,,,,,,,,,,,,,,,
,,44,CompanyPared,JuicyBerry,76,,,,C&O,,,,,,,,,,,,,,
,,45,ShareBought,y,152,,,20,C&O,,IPO,,,,,,,,,,,,
PresidentNomination,,46,,JuicyBerry,,,,,C&O,,,,,,,,,,,,,,
,,47,ShareBought,e,76,,,10,C&O,,IPO,,,,,,,,,,,,
,,48,ShareBought,y,82,,,10,PRR,,IPO,,,,,,,,,,,,
,,49,Passed,,,,leesin,,,,,,,,,,,,,,,,
,,50,ShareBought,y,76,,,10,C&O,,IPO,,,,,,,,,,,,
,,51,ShareBought,e,76,,,10,C&O,,IPO,,,,,,,,,,,,
,,52,ShareBought,y,82,,,10,PRR,,IPO,,,,,,,,,,,,
,,53,Passed,,,,leesin,,,,,,,,,,,,,,,,
,,54,ShareBought,y,76,,,10,C&O,,IPO,,,,,,,,,,,,
CompanyFloating,,55,,O,,,,,,,,,,,,,,,,,,,
,,56,FundsReceived,,760,,,,O,,,,,,,,,,,,,,
,,57,ShareBought,e,76,,,10,C&O,,IPO,,,,,,,,,,,,
,,58,ShareBought,y,82,,,10,PRR,,IPO,,,,,,,,,,,,
CompanyFloating,,59,,R,,,,,,,,,,,,,,,,,,,
,,60,FundsReceived,,820,,,,R,,,,,,,,,,,,,,
,,61,Passed,,,,leesin,,,,,,,,,,,,,,,,
,,62,ShareBought,y,76,,,10,C&O,,IPO,,,,,,,,,,,,
,,63,ShareBought,e,76,,,10,C&O,,IPO,,,,,,,,,,,,
,,64,ShareBought,y,76,,,10,C&O,,IPO,,,,,,,,,,,,
,,65,Passed,,,,leesin,,,,,,,,,,,,,,,,
,,66,ShareBought,y,82,,,10,PRR,,IPO,,,,,,,,,,,,
,,67,Passed,,,,and,,,,,,,,,,,,,,,,
,,68,ShareBought,y,82,,,10,PRR,,IPO,,,,,,,,,,,,
,,69,ShareBought,n,82,,,10,PRR,,IPO,,,,,,,,,,,,
,,70,Passed,,,,and,,,,,,,,,,,,,,,,
,,71,Passed,,,,and,,,,,,,,,,,,,,,,
,,72,Passed,,,,and,,,,,,,,,,,,,,,,
,,73,ShareBought,n,82,,,10,PRR,,IPO,,,,,,,,,,,,
,,74,Passed,,,,and,,,,,,,,,,,,,,,,
,,75,Passed,,,,and,,,,,,,,,,,,,,,,
